Test Case,reg_no,client_ref_num,
Verify by entering a valid RC number,TN54M7497,Almond,
Verify by entering an invalid RC number,ZZ30BJ5132,Almond,
Verify by leaving the RC number field empty,,Almond,
Verify by entering only spaces in the RC number,  ,Almond,
Verify by entering spaces in both the RC number and client reference number, , ,
Verify by entering special characters in the RC number,!@#$%^&*(),Almond,
Verify by entering all numeric characters in the RC number,1234567890,Almond,
Verify by entering all alphabetic characters in the RC number,ASDFGHJKL,Almond,
Verify by entering the RC number in lowercase,tn54m7497,Almond,
Verify by entering a new format RC number,22BH6517A,Almond,
Verify by entering an RC number that is not found,DL01AB0122,Almond,
Verify by entering an RC number for a two-wheeler,TN01AT5520,Almond,
Verify by entering an RC number for a three-wheeler,KA115816,Almond,
Verify by entering an RC number for a car,AP31EM8982,Almond,
Verify by entering an RC number for a lorry,GA03N0607,Almond,
Verify by entering an RC number for a tractor,KA43T1161,Almond,
Verify by entering an RC number for a government vehicle,TN01AN2790,Almond,
Verify by entering an RC number for a bus private vehicle,AR01H7815,Almond,
Verify by entering multiple registered RTO RC numbers,AP15AQ7698,Almond,
Verify by entering spaces at the front of the RC number, AP15AQ7698,Almond,
Verify by entering spaces at the end of the RC number,AP15AQ7698 ,Almond,
Verify by changing the reg no key,TN54M7497,Almond,
Verify by entering a valid client reference number,TN54M7497,Almond,  
Verify by entering an invalid client reference number,TN54M7497,Walnut@@,
Verify by leaving the client reference number field empty,TN54M7497,,
Verify by entering only spaces in the client reference number field,TN54M7497, ,
Verify by entering a client reference number with more than 100 characters,TN54M7497,AlmondAlmonAlmonAlmonAlmonAlmonAlmonAlmonAlmonAlmondAlmondAlmonAlmonAlmonAlmonAlmonAlmonAlmonAlmonAl1,
Verify by entering a client reference number exactly 100 characters long,TN54M7497,AlmondAlmonAlmonAlmonAlmonAlmonAlmonAlmonAlmonAlmondAlmondAlmonAlmonAlmonAlmonAlmonAlmonAlmonAlmonAl,
Verify by adding spaces at the front and end of the client reference number,TN54M7497, Almond ,
To verify that only '_'  '-'  '.' characters are accepted in the client reference number.,TN54M7497,Almond_-,
Verify the response for a 101 case,TN54M7497,Almond,
Verify the response for a 102 case,ZZ30BJ5132,Almond,
Verify the response for a 103 case,KA01KF5509,Almond,
Verify the entid is stored or not ,TN54M7497,Almond,
Verify the request_payload is stored or not ,TN54M7497,Almond,
Verify the reg_no is stored or not,TN54M7497,Almond,
Verify the client_ref_num is stored or not,TN54M7497,Almond,
Verify the Success http_response_code is stored or not,TN54M7497,Almond,
Verify the failure http_response_code is stored or not,TN54M7497,Almond,
Verify the Success result_code is stored or not,TN54M7497,Almond,
Verify the failure result_code is stored or not,TN54M7497,Almond,
Verify the response_payload is stored or not,TN54M7497,Almond,
Verify the tat is stored or not,TN54M7497,Almond,
Verify the error is stored or not,TN54M7497,Almond,
To verify that the created_on and updated_on are updated properly.,TN54M7497,Almond,
