Test Cases,cin,client_ref_num,company_id,test_scenario
To verify by entering the valid CIN number,U72900KA2019PTC129553,Apple,,
To verify by entering the valid CIN number which not found,U72890KA2012PTC349541,Apple,,
To verify by entering the invalid CIN number,U74999KA2016PTC09860$,Apple,,
To verify by entering other then CIN number,9843729991,Apple,,
To verify by entering only special char in the CIN number,!@#$%^&*()$$$,Apple,,
To verify by entering only numeric char in the CIN number,1234567,Apple,,
To verify by entering only alpha char in the CIN number,QWERTYUIIOP,Apple,,
To verify by entering mixed of alpha numeric special char in the CIN number,QWERTY!@#$%12345,Apple,,
To verify by leaving the COI field as empty,,Apple,,
To verify by leaving the COI field as empty space, ,Apple,,
To verify by giving Additional space at the end of the params for cin num,U74999KA2016PTC098609 ,Apple,,
To verify by giving Additional space at the front of the params for cin ref num, U74999KA2016PTC098609,Apple,,
To verify by entering the deactivated company CIN number,U99999MH1911PLC007676,Apple,,
To verify by entering Strike Off CIN number,U92490TZ2020PTC035264,Apple,,
To verify by entering Under Process of Striking Off CIN number,U72900WB2016PTC218292,Apple,,
To verify by entering Converted to LLP CIN number,U70109DL2006PTC149536,Apple,,
To verify entering a valid FCIN number in the company_id field.,,Apple,F06368,
To verify entering a valid FCRN number in the company_id field.,,Apple,F04999,
To verify entering a valid LLPIN number in the company_id field.,,Apple,AAE-9622,
To verify entering an invalid FCIN number in the company_id field.,,Apple,F063680,
To verify entering an invalid FCRN number in the company_id field.,,Apple,F049900,
To verify entering an invalid LLPIN number in the company_id field.,,Apple,A0009622,
To verify entering both a valid CIN and a valid company_id in the payload.,U74999KA2016PTC098609,Apple,F06368,
To verify entering both a invalid CIN and a invalid company_id in the payload.,U72890KA2012PTC349541,Apple,F06368000,
To verify entering both a valid CIN and a invalid company_id in the payload.,U74899DL1994PTC061340,Apple,F06368000,
To verify entering both a invalid CIN and a valid company_id in the payload.,U72890KA2012PTC349541,Apple,F04999,
To verify entering a valid CIN and leaving the company_id field empty.,U74899DL1994PTC061340,Apple,,
To verify leaving the CIN field empty and entering a valid company_id.,,Apple,F06368,
To verify entering both company_id values in the CIN field.,F06368,Apple,F06368,
To verify entering the CIN field in the company_id and leaving the company_id field empty.,F06368,Apple,U74110KA2013PLC096530,
To verify leaving the CIN field empty and entering the CIN value in the company id field.,,Apple,U74999KA2016PTC098609,
To verify leaving both the CIN and company_id fields as empty strings.,,Apple,,
To verify entering a valid company_id and numeric characters in the CIN field.,1234567,Apple,F06367,
To verify entering a valid company_id and special characters in the CIN field.,!@#$%^&*()$$$,Apple,F06367,
To verify entering a valid company_id and alphabetic characters in the CIN field.,ASDFGERTHJKL,Apple,F06367,
To verify entering a valid company_id and a mix of special alphabetic and numeric characters in the CIN field.,QWERTY!@#$%12345,Apple,F06367,
To verify entering a valid CIN and numeric characters in the company_id field.,U74999KA2016PTC098609,Apple,123456,
To verify entering a valid CIN and special characters in the company_id field.,U74999KA2016PTC098609,Apple,!@#$%^&,
To verify entering a valid CIN and alphabetic characters in the company_id field.,U74999KA2016PTC098609,Apple,ASDFGHJ,
To verify entering a valid CIN and a mix of special alphabetic and numeric characters in the company_id field.,U74999KA2016PTC098609,Apple,123!@#$%^ASD,
To verify by not including the cin key in the input payload.,,Apple,AAE-9622,
To verify by not including the company id key in the input payload.,U74899DL1994PTC061340,Apple,,
To check the company_id key and value in the response.,U74899DL1994PTC061340,Apple,,
To verify by entering an valid client reference number.,U70109DL2006PTC149536,Apple,,
To verify by entering an invalid client reference number.,U70109DL2006PTC149536,Apple!@#$%,,
To verify by leaving the client reference number field empty.,U70109DL2006PTC149536,,,
To verify by giving an empty space in the client reference number field.,U70109DL2006PTC149536, ,,
To verify by giving Additional space at the end of the params for client ref num,U70109DL2006PTC149536,Apple ,,
To verify by giving Additional space at the front of the params for client ref num,U70109DL2006PTC149536, Apple,,
To verify that only '_'  '-' and '.' characters are accepted in the client reference number.,U70109DL2006PTC149536,Apple_-.,,
To verify by entering a client reference number with more than 45 characters.,U70109DL2006PTC149536,test0test0test0test0test0test0test0test0test0test0,,
To verify by entering a client ref num as 45 char,U72900KA2019PTC129553,test0test0test0test0test0test0test0test0test0,,
To verify the test Scenarios with time out,U70109DL2006PTC149536,Apple,,timeout
